;Puntualidad;Limpieza_estaciones;Limpieza;Rapidez;Seguridad_estaciones;Seguridad;Seguridad_accesos;Comodidad_espera_tren;Comodidad;Señalización _staciones;Atención_clientes;Frecuencia;Información;Información_ en_estaciones;Teleindicadores_canceladoras;Precios;Ascensores;Escaleras_mecánicas;Barik;Canceladoras;Máquinas_expendedoras;Metro_en_general
2024;8.3;8.5;8.5;8.4;8;7.9;7.9;8.1;7.7;8.3;8.1;8;7.6;7.7;8;7.8;7.7;7.8;8.5;8.2;8.1;8.2
2023;8;8.5;8.3;8.2;7.6;7.6;7.6;7.7;7.6;8.1;7.9;7.7;7.5;7.5;7.8;7.6;7.5;7.8;8.4;8;7.9;8
2022;8.2;8.3;8.2;8.3;7.7;7.6;7.5;7.8;7.7;8;7.7;7.7;7.4;7.4;7.6;7.3;7.6;7.7;8.3;7.9;7.9;8
2021;8.2;8.5;8.4;8.3;7.8;7.6;7.7;7.9;7.8;8.2;8;7.8;7.6;7.7;7.8;6.8;7.6;7.8;8.2;8;7.9;8
2020;8.4;8.7;8.6;8.4;7.9;7.9;7.8;7.9;8.1;8.1;8.2;8;7.6;7.6;7.8;6.5;7.8;8.1;8.1;7.9;8;8.3
2019;8.1;8.7;8.6;8.2;7.8;7.7;8.2;7.8;7.9;8;8;7.6;7.3;7.3;7.5;6.3;7.6;8;8.2;7.8;7.8;8
2018;8.2;8.7;8.6;8.2;7.9;7.9;7.9;7.9;7.9;8.1;8;7.7;7.5;7.5;7.8;5.9;7.6;7.9;8;8;8.1;8.1
2017;8.1;8.7;8.6;8.2;7.9;7.8;7.9;7.8;7.9;7.8;7.8;7.8;7.2;7.3;7.6;6;7.6;7.9;7.2;7.7;8;8.1
2016;8.1;8.7;8.6;8.1;7.9;7.9;7.8;7.8;7.8;7.8;7.8;7.8;7.2;7.2;7.5;6.1;7.4;7.7;7.9;7.9;8;8.1
2015;8.2;8.7;8.6;8.2;8;8;8;8;8;7.9;8.1;7.8;7.2;7.2;7.7;6;7.7;7.9;8;7.9;7.9;8.2
2014;8.1;8.7;8.6;8.2;8;8;8;7.9;8;7.9;7.9;7.7;7.1;7.2;7.6;5.7;7.5;7.9;7.8;7.8;7.8;8.1
2013;7.9;8.5;8.4;8.1;7.8;7.7;7.8;7;7.7;7.8;7.7;7.6;6.9;7;7.5;5.6;7.6;7.7;7.2;8.2;7.7;7.9
2012;7.9;8.5;8.4;8.1;7.8;7.7;7.8;7;7.7;7.8;7.7;7.6;6.9;7;7.5;5.6;7.6;7.7;7.8;8.2;7.7;7.9
