"Educ";"Sanidad";"Pensiones";"Justicia";"Seguridad";"ServSoc";"Transp";"Obras";"Depend";"F_Sanidad";"F_CMayores";"F_Pensiones";"F_Parados";"F_Vivienda";"F_Educ";"EdadIntervalos";"P6"
"1";"3";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(65,96]";"3"
"2";"4";"4";"3";"4";"4";"4";"3";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"3";"3";"2";"1";"3";"2";"2";"2";"2";"2";"2";"3";"3";"2";"2";"3";"(65,96]";"2"
"5";"2";"3";"3";"3";"2";"3";"2";"2";"3";"3";"3";"2";"3";"3";"2";"(35,50]";"2"
"6";"1";"1";"1";"1";"3";"1";"1";"3";"3";"1";"1";"2";"3";"3";"2";"(35,50]";"3"
"7";"2";"2";"2";"3";"2";"3";"2";"2";"3";"2";"3";"2";"2";"3";"2";"(50,65]";"2"
"8";"3";"2";"3";"3";"2";"3";"2";"3";"3";"1";"3";"3";"3";"3";"3";"(35,50]";"3"
"9";"2";"3";"4";"4";"2";"2";"3";"3";"3";"3";"2";"3";"3";"3";"2";"[18,35]";"3"
"10";"2";"3";"4";"2";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"2";"[18,35]";"3"
"11";"3";"3";"2";"3";"3";"3";"3";"2";"3";"1";"1";"1";"1";"1";"1";"(50,65]";"3"
"12";"3";"3";"2";"4";"2";"3";"3";"2";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"1"
"13";"2";"2";"1";"4";"3";"3";"2";"4";"3";"2";"3";"3";"3";"3";"3";"(65,96]";"3"
"14";"2";"2";"1";"3";"1";"2";"2";"2";"2";"3";"3";"1";"1";"2";"1";"(65,96]";"1"
"16";"3";"3";"3";"3";"4";"3";"4";"4";"4";"3";"2";"3";"3";"3";"3";"(35,50]";"3"
"17";"2";"2";"3";"4";"2";"2";"2";"2";"3";"1";"1";"2";"1";"1";"1";"(50,65]";"3"
"18";"2";"2";"2";"2";"2";"2";"1";"2";"2";"3";"3";"3";"2";"3";"3";"(50,65]";"1"
"19";"2";"2";"2";"3";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"(65,96]";"2"
"20";"2";"2";"2";"3";"2";"2";"2";"3";"2";"1";"1";"2";"3";"2";"2";"[18,35]";"2"
"21";"2";"2";"2";"2";"2";"3";"2";"2";"3";"1";"1";"3";"2";"2";"2";"[18,35]";"2"
"22";"2";"2";"3";"2";"2";"2";"2";"2";"3";"1";"2";"2";"3";"1";"1";"[18,35]";"2"
"23";"2";"2";"2";"3";"2";"2";"2";"2";"3";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"24";"3";"3";"2";"3";"3";"3";"3";"2";"3";"3";"2";"3";"2";"3";"2";"(35,50]";"3"
"25";"2";"2";"2";"3";"2";"2";"2";"2";"2";"1";"1";"1";"3";"1";"1";"(35,50]";"2"
"27";"2";"2";"1";"2";"1";"2";"3";"3";"3";"3";"2";"3";"2";"2";"2";"[18,35]";"3"
"28";"3";"3";"2";"4";"2";"3";"2";"2";"3";"1";"1";"1";"1";"1";"1";"(50,65]";"1"
"30";"3";"4";"4";"3";"3";"3";"3";"2";"4";"2";"2";"3";"3";"3";"3";"(35,50]";"3"
"31";"2";"3";"2";"2";"2";"2";"2";"2";"2";"1";"1";"2";"1";"3";"2";"[18,35]";"2"
"32";"2";"3";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"33";"2";"2";"1";"3";"2";"3";"2";"2";"3";"3";"1";"2";"2";"3";"2";"(50,65]";"2"
"34";"1";"1";"2";"3";"2";"2";"3";"2";"3";"3";"3";"3";"2";"3";"3";"(35,50]";"3"
"35";"2";"3";"2";"3";"2";"2";"1";"3";"3";"2";"2";"1";"2";"1";"1";"(65,96]";"3"
"36";"3";"2";"2";"2";"2";"3";"2";"1";"2";"3";"3";"3";"1";"3";"2";"(35,50]";"1"
"37";"2";"2";"2";"4";"2";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"(35,50]";"3"
"38";"2";"3";"2";"4";"3";"2";"1";"2";"3";"2";"2";"3";"2";"2";"3";"(35,50]";"3"
"39";"2";"3";"2";"3";"3";"2";"2";"4";"3";"3";"3";"3";"2";"3";"2";"(50,65]";"3"
"40";"1";"2";"2";"2";"2";"2";"3";"2";"1";"1";"1";"3";"2";"3";"3";"[18,35]";"3"
"41";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"1";"3";"2";"2";"1";"(35,50]";"3"
"43";"2";"3";"1";"2";"2";"2";"3";"2";"3";"3";"1";"1";"2";"3";"1";"[18,35]";"2"
"44";"2";"3";"3";"3";"2";"3";"3";"1";"3";"2";"1";"3";"3";"3";"2";"[18,35]";"3"
"45";"2";"2";"3";"3";"3";"2";"1";"2";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"46";"3";"3";"3";"3";"2";"3";"3";"1";"3";"1";"2";"2";"1";"3";"2";"(35,50]";"3"
"47";"3";"1";"4";"3";"2";"3";"2";"3";"4";"1";"3";"3";"2";"3";"3";"(50,65]";"3"
"48";"2";"2";"3";"3";"3";"3";"2";"3";"3";"2";"2";"2";"2";"3";"2";"(35,50]";"3"
"49";"1";"3";"1";"2";"1";"2";"4";"1";"1";"2";"1";"1";"1";"1";"1";"(35,50]";"3"
"50";"2";"1";"1";"2";"2";"2";"3";"2";"2";"3";"3";"2";"2";"3";"2";"(50,65]";"1"
"51";"3";"4";"4";"4";"4";"3";"3";"3";"3";"2";"2";"2";"3";"3";"2";"(65,96]";"2"
"52";"4";"3";"1";"3";"3";"2";"2";"2";"2";"3";"3";"2";"3";"3";"3";"(35,50]";"3"
"53";"3";"4";"2";"4";"2";"3";"2";"2";"4";"3";"2";"3";"2";"2";"3";"(35,50]";"3"
"54";"2";"2";"2";"3";"3";"2";"3";"2";"3";"2";"1";"2";"2";"3";"1";"(65,96]";"2"
"55";"2";"2";"1";"3";"2";"2";"2";"1";"3";"3";"1";"2";"3";"3";"3";"(35,50]";"3"
"56";"2";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"3"
"59";"2";"1";"2";"3";"2";"2";"3";"2";"3";"2";"1";"1";"2";"2";"2";"(50,65]";"2"
"61";"2";"2";"2";"3";"2";"3";"2";"3";"3";"2";"3";"2";"2";"3";"2";"(65,96]";"2"
"62";"3";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"3";"3";"2";"(35,50]";"3"
"63";"4";"4";"3";"4";"4";"4";"1";"4";"4";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"65";"3";"3";"3";"3";"3";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"(35,50]";"1"
"67";"2";"2";"2";"3";"2";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"(50,65]";"3"
"68";"1";"2";"1";"4";"2";"2";"2";"3";"3";"2";"2";"2";"2";"3";"2";"(50,65]";"3"
